,Adj Close
MMM,163.24899376763238
ABT,84.5105561150445
ABBV,66.96944416893854
ABMD,192.15138795640735
ACN,193.89999940660266
ATVI,50.8616664674547
ADBE,285.51750013563367
AMD,30.735000080532497
AAP,144.36643939548068
AES,15.489166577657064
AMG,80.07676103379991
AFL,51.225686391194664
A,71.7308332655165
APD,223.73972108629016
AKAM,88.68750021192763
ALK,62.01213137308756
ALB,65.15421782599554
ARE,148.76555675930447
ALXN,108.77111159430609
ALGN,180.07111019558377
ALLE,97.7556995815701
AGN,161.32061640421549
ADS,136.55506621466742
LNT,51.816111140780976
ALL,104.07986513773601
GOOGL,1195.8099907769097
GOOG,1194.6419508192275
MO,44.17833010355631
AMZN,1804.034440782335
AMCR,9.87890757454766
AEE,76.14711401197646
AAL,27.505894131130642
AEP,90.73700057135687
AXP,120.88222164577908
AIG,54.50464418199327
AMT,223.84000057644315
AWK,122.6096731821696
AMP,133.68888833787707
ABC,85.5536003112793
AME,86.62078221638997
AMGN,198.5285470750597
APH,88.60162713792589
ADI,110.94896104600694
ANSS,209.9694446987576
ANTM,265.2214346991645
AON,191.11333253648547
AOS,46.70083321465386
APA,22.76083336936103
AIV,50.65647178226047
AAPL,209.5638321770562
AMAT,48.2264289855957
APTV,84.8515739440918
ADM,38.72050740983751
ARNC,25.628888765970867
ANET,232.99722162882486
AJG,88.82997300889757
AIZ,121.43399344550238
ATO,109.48350567287869
T,35.59166696336534
ADSK,148.18027793036566
ADP,164.79301240709094
AZO,1106.5455593532986
AVB,208.41027704874674
AVY,112.78386984931097
BHGE,22.67702054977417
BLL,76.66832457648383
BAC,27.982900036705864
BK,43.96944438086616
BAX,86.44211133321126
BBT,48.40301916334364
BDX,252.28598743014865
BRK.B,
BBY,66.65055020650227
BIIB,231.21444447835287
BLK,424.6631546020508
HRB,25.629652712080215
BA,352.98921373155383
BKNG,1952.078884548611
BWA,34.40679248174032
BXP,128.96861012776694
BSX,42.34138912624783
BMY,47.788889249165855
AVGO,279.3191206190321
BR,126.72446060180664
BF.B,
COG,17.474904590182835
CDNS,68.40861129760742
CPB,43.829999923706055
COF,88.18861113654242
CPRI,29.675277603997124
CAH,44.925555335150825
KMX,84.4288887447781
CCL,45.87293095058865
CAT,122.09999910990398
CBOE,117.6985878414578
CBRE,52.570277743869354
CBS,44.53169038560655
CE,113.88111114501953
CELG,96.12666659884982
CNC,47.01611095004611
CNP,28.44294759962294
CTL,11.688275284237331
CERN,69.21694437662761
CF,49.14507304297553
SCHW,39.23874674903022
CHTR,401.1169442070855
CVX,119.11717732747395
CMG,816.8008371988932
CB,156.00026999579535
CHD,76.36737463209364
CI,159.9394450717502
XEC,43.62493716345893
CINF,110.32526291741266
CTAS,258.610833062066
CSCO,49.43916649288602
C,65.74361112382677
CFG,34.06861114501953
CTXS,93.29653739929199
CLX,158.22055519951715
CME,211.67258877224393
CMS,61.47055583530002
KO,53.762952168782554
CTSH,62.43494701385498
CL,72.07500012715657
CMCSA,44.33194425370958
CMA,62.38232824537489
CAG,28.867500093248154
CXO,71.89499643113878
COP,54.6555553012424
ED,88.45117950439453
STZ,200.35583029852972
COO,319.2991672092014
CPRT,77.45944468180339
GLW,28.137978500790066
CTVA,29.588055345747208
COST,283.12915293375653
COTY,9.756516986423069
CCI,141.13858710394965
CSX,67.22141774495442
CMI,152.80686230129666
CVS,60.67972204420302
DHI,48.80909411112467
DHR,140.14805518256293
DRI,121.69111082288954
DVA,58.616111013624405
DE,155.44555621676975
DAL,58.31555536058214
XRAY,51.888611263699005
DVN,23.750805801815456
FANG,97.00016615125868
DLR,121.9900336795383
DFS,81.81222809685602
DISCA,28.018333382076687
DISCK,26.20916673872206
DISH,33.4919442070855
DG,145.5463892618815
DLTR,100.71527756585016
D,76.52226702372234
DOV,93.15743933783637
DOW,44.399174478318955
DTE,128.7039303249783
DUK,91.40044615003798
DRE,32.97639544804891
DD,68.63083351982965
DXC,36.18058490753174
ETFC,42.72077613406711
EMN,67.51161681281195
ETN,80.65138922797308
EBAY,40.053310288323296
ECL,201.68167114257812
EIX,72.67277823554144
EW,217.69611061943903
EA,94.58638827006023
EMR,60.59560924106174
ETR,110.94941817389594
EOG,77.70083342658148
EFX,142.17573165893555
EQIX,546.4942058987087
EQR,83.15749973720975
ESS,317.0169431898329
EL,192.5904278225369
EVRG,63.782232496473526
ES,79.65430302090115
RE,248.2759140862359
EXC,46.28136899736192
EXPE,129.86892085605197
EXPD,72.33138826158311
EXR,118.06865776909723
XOM,70.12610011630588
FFIV,132.92166667514377
FB,185.7627771165636
FAST,30.78805552588569
FRT,130.88746367560492
FDX,159.85299809773764
FIS,134.34442308213977
FITB,26.7347223493788
FE,45.66596370273166
FRC,92.25249968634711
FISV,105.36666679382324
FLT,291.804443359375
FLIR,49.19809934828017
FLS,44.07256084018283
FMC,86.55805524190266
F,9.201111104753283
FTNT,80.35388904147678
FTV,69.63336372375488
FBHS,51.52362314860026
FOXA,33.71240758895874
FOX,33.53871091206869
BEN,28.24527793460422
FCX,9.690833303663466
GPS,17.27527772055732
GRMN,80.25306850009494
IT,133.3444449106852
GD,186.36777920193143
GE,8.906227456198799
GIS,54.08472220102946
GM,37.83348899417453
GPC,91.9239239162869
GILD,64.08820120493571
GL,89.4927772945828
GPN,162.7268312242296
GS,205.66731897989908
GWW,276.59373982747394
HAL,19.368278450436062
HBI,14.414288202921549
HOG,32.9510219362047
HIG,58.75297398037381
HAS,113.94305568271213
HCA,124.45464664035373
HCP,34.343888918558754
HP,40.702510833740234
HSIC,62.50305546654595
