,index,Adj Close
0,MMM,166.01128815441598
1,ABT,37.53952110104444
2,ABBV,55.238642715826266
3,ABMD,113.37926762278487
4,ACN,112.77140305681927
5,ATVI,36.9597991385111
6,ADBE,106.74243908393674
7,AMD,10.61512198099276
8,AAP,170.40619194216845
9,AES,10.406355997411216
10,AMG,145.10753724633193
11,AFL,32.971541334943076
12,A,45.66791264603778
13,APD,135.7761260241997
14,AKAM,67.64097557998285
15,ALK,85.82971284447646
16,ALB,87.50519282643388
17,ARE,102.22676235292016
18,ALXN,127.5260975535323
19,ALGN,95.82097588515863
20,ALLE,63.917121515041444
21,AGN,196.82344762290396
22,ADS,224.72282223585177
23,LNT,34.465981460199124
24,ALL,70.33568331090416
25,GOOGL,815.0756166039444
26,GOOG,794.7242654939977
27,MO,60.0467160852944
28,AMZN,784.8763442620998
29,AMCR,9.856744696454305
30,AEE,47.968950039002955
31,AAL,46.37188627661728
32,AEP,57.090811473567314
33,AXP,72.377418890232
34,AIG,61.92579325234018
35,AMT,99.27903375393007
36,AWK,68.76864214641292
37,AMP,106.94739774378334
38,ABC,77.7207059162419
39,AME,49.23603951058737
40,AMGN,139.86261619009622
41,APH,66.22166238180021
42,APC,68.10865895341082
43,ADI,69.18289631169017
44,ANSS,94.04390232737471
45,ANTM,142.20152580447314
46,AON,109.39974994194216
47,AOS,47.03915647181069
48,APA,60.03047022005407
49,AIV,40.39115403338177
50,AAPL,112.42058991222846
51,AMAT,31.64600995691811
52,APTV,56.396759591451506
53,ADM,41.79067862906107
54,ARNC,20.19637507927127
55,ANET,95.69804903356041
56,AJG,48.63509899232446
57,AIZ,88.34283763606373
58,ATO,70.03200419356183
59,T,35.66724823742378
60,ADSK,78.12365890130764
61,ADP,95.97512035835081
62,AZO,781.8758515148628
63,AVB,159.36227751941215
64,AVY,68.8073672783084
65,BHGE,42.32264942076148
66,BLL,37.14290804979278
67,BAC,21.64001571841356
68,BK,44.929485972334696
69,BAX,44.10763456763291
70,BBT,43.326321392524534
71,BDX,163.0501232612424
72,BRK.B,
73,BBY,42.348441891553925
74,BIIB,286.1312166539634
75,BLK,359.06287067692455
76,HRB,21.03495872311476
77,BA,149.08243691048972
78,BKNG,1523.554383812881
79,BWA,38.58616405580102
80,BXP,118.93856309099895
81,BSX,22.22341458390399
82,BMY,51.93572960830316
83,AVGO,169.12113468821457
84,BR,63.1763887172792
85,CHRW,70.4493207233708
86,COG,22.10749026042659
87,CDNS,25.77414638240163
88,CPB,55.58876744712271
89,COF,84.24106579292112
90,CPRI,44.2907316626572
91,CAH,66.79329709308904
92,KMX,64.59024382800591
93,CCL,49.36836391542016
94,CAT,88.25857060130049
95,CBOE,72.98538133574695
96,CBRE,31.279024449790395
97,CBS,61.40988038225872
98,CE,78.04515615323695
99,CELG,116.09097606379811
100,CNC,29.83463426915611
101,CNP,22.572192820107066
102,CTL,18.90968104106624
103,CERN,49.3812680128144
104,CF,29.460899539110137
105,SCHW,39.315758309713225
106,CHTR,294.9185374190168
107,CVX,105.42227935791016
108,CMG,395.2075619581269
