,index,Adj Close
0,MMM,170.24176429299746
1,ABT,83.12421013327206
2,ABBV,73.11785619399127
3,ABMD,259.9708777034984
4,ACN,187.02352905273438
5,ATVI,46.18970612918629
6,ADBE,292.0805888456457
7,AMD,31.370294178233426
8,AAP,155.16949732163374
9,AES,16.844411793877097
10,AMG,89.05617702708525
11,AFL,55.187941158519074
12,A,71.58414885577034
13,APD,222.73186537798713
14,AKAM,79.98147089341107
15,ALK,62.61882344414206
16,ALB,70.31956840963925
17,ARE,145.99135544720818
18,ALXN,123.50176530725815
19,ALGN,287.6494113697725
20,ALLE,107.40370582131779
21,AGN,146.38117644366096
22,ADS,142.70911901137407
23,LNT,49.52588227215935
24,ALL,101.99264728321748
25,GOOGL,1103.8123527975642
26,GOOG,1102.4202844956342
27,MO,49.457476559807276
28,AMZN,1903.7117704503676
29,AMCR,11.173235248116885
30,AEE,76.0592139748966
31,AAL,32.07529432633344
32,AEP,89.80558866613052
33,AXP,123.59105188706341
34,AIG,54.01987288979923
35,AMT,209.84620172837202
36,AWK,116.77941154031193
37,AMP,148.5082343606388
38,ABC,85.71117603077607
39,AME,87.96675670848174
40,AMGN,180.0002944048713
41,APH,95.48661467608284
42,APC,70.83407592773438
43,ADI,109.9273531296674
44,ANSS,201.41382374482995
45,ANTM,288.1990634693819
46,AON,192.71852964513442
47,AOS,45.085294386919806
48,APA,27.364269537084244
49,AIV,51.02911747203154
50,AAPL,197.15147130629595
51,AMAT,43.53999979355756
52,APTV,77.14411701875575
53,ADM,40.79441182753619
54,ARNC,24.516470572527716
55,ANET,258.4511754653033
56,AJG,88.60352796666763
57,AIZ,107.41941160314224
58,ATO,105.66000007180607
59,T,32.48477907741771
60,ADSK,166.63941237505745
61,ADP,164.86173472684973
62,AZO,1119.2985229492188
63,AVB,207.09050077550552
64,AVY,113.17617663215188
65,BHGE,23.863235305337344
66,BLL,68.00264695111443
67,BAC,28.511075244230383
68,BK,43.833235572366156
69,BAX,80.40120270672966
70,BBT,49.33852992338293
71,BDX,245.83690957462088
72,BRK.B,
73,BBY,68.9514113033519
74,BIIB,232.30970494887407
75,BLK,460.3523846794577
76,HRB,28.089716967414407
77,BA,359.03940806669345
78,BKNG,1839.4555987189797
79,BWA,40.44411771437701
80,BXP,132.41032117955825
81,BSX,41.6711763494155
82,BMY,45.891809575697955
83,AVGO,278.2110999612247
84,BR,130.2142780528349
85,CHRW,82.80712037927964
86,COG,23.722646993749283
87,CDNS,70.7835288328283
88,CPB,40.8793903799618
89,COF,90.44176483154297
90,CPRI,34.735588298124426
91,CAH,45.367164611816406
92,KMX,84.67382408590878
93,CCL,48.56147025613224
94,CAT,130.85396396412568
95,CBOE,109.56323466581456
