,index,Net Income,Depreciation,Adjustments To Net Income,Changes In Accounts Receivables,Changes In Liabilities,Changes In Inventories,Changes In Other Operating Activities,Total Cash Flow From Operating Activities,Capital Expenditure,Investments,Other Cash flows from Investing Activities,Total Cash Flows From Investing Activities,Dividends Paid,Sale Purchase of Stock,Net Borrowings,Other Cash Flows from Financing Activities,Total Cash Flows From Financing Activities,Effect Of Exchange Rate Changes,Change In Cash and Cash Equivalents,Cash And Cash Equivalents,Short Term Investments,Net Receivables,Inventory,Other Current Assets,Total Current Assets,Long Term Investments,"Property, plant and equipment",Goodwill,Intangible Assets,Other Assets,Deferred Long Term Asset Charges,Total Assets,Accounts Payable,Short/Current Long Term Debt,Other Current Liabilities,Total Current Liabilities,Long Term Debt,Other Liabilities,Deferred Long Term Liability Charges,Minority Interest,Total Liabilities,Common Stock,Retained Earnings,Treasury Stock,Capital Surplus,Other Stockholder Equity,Total stockholders' equity,Net Tangible Assets,Total Revenue,Cost of Revenue,Gross Profit,Research Development,Selling General and Administrative,Others,Total Operating Expenses,Operating Income or Loss,Total Other Income/Expenses Net,Earnings Before Interest and Taxes,Interest Expense,Income Before Tax,Income Tax Expense,Minority Interest,Net Income From Continuing Ops,Discontinued Operations,Net Income Applicable To Common Shares
0,MMM,4858000.0,1337000.0,-314000.0,-245000.0,24000.0,-387000.0,0.0,6240000.0,-1373000.0,-798000.0,-6000.0,-3086000.0,-2803000.0,0.0,1603000.0,-121000.0,-2655000.0,156000.0,655000.0,3053000.0,1076000.0,4982000.0,4034000.0,195000.0,14277000.0,171000.0,8866000.0,10513000.0,2936000.0,1224000.0,511000.0,37987000.0,1945000.0,1103000.0,1948000.0,7687000.0,12102000.0,6516000.0,0.0,59000.0,26365000.0,9000.0,39115000.0,-32913000.0,5352000.0,-7026000.0,11563000.0,-1886000.0,31657000.0,15969000.0,15688000.0,1862000.0,6493000.0,0.0,24324000.0,7333000.0,215000.0,7333000.0,-322000.0,7548000.0,2679000.0,59000.0,4869000.0,0.0,4858000.0
1,ABT,477000.0,3019000.0,154000.0,-207000.0,615000.0,249000.0,109000.0,5570000.0,-1135000.0,-81000.0,2739000.0,-9618000.0,-1849000.0,0.0,-2942000.0,-13000.0,-5281000.0,116000.0,-9213000.0,9407000.0,203000.0,5249000.0,3601000.0,158000.0,20147000.0,520000.0,7607000.0,24020000.0,21473000.0,2483000.0,1944000.0,76250000.0,2402000.0,508000.0,798000.0,8912000.0,27210000.0,9030000.0,0.0,201000.0,45152000.0,23206000.0,23978000.0,-16287000.0,0.0,-6062000.0,30897000.0,-14596000.0,27390000.0,11490000.0,15900000.0,2183000.0,8804000.0,0.0,24452000.0,2938000.0,-707000.0,2938000.0,-904000.0,2231000.0,1878000.0,201000.0,353000.0,124000.0,468000.0
2,ABBV,5309000.0,1501000.0,3141000.0,-391000.0,425000.0,93000.0,-118000.0,9960000.0,-529000.0,563000.0,0.0,-274000.0,-4107000.0,0.0,-2000.0,-247000.0,-5512000.0,29000.0,4203000.0,9303000.0,486000.0,7188000.0,1605000.0,23000.0,21223000.0,2090000.0,2803000.0,15785000.0,27559000.0,1326000.0,0.0,70786000.0,1474000.0,6015000.0,4406000.0,16641000.0,30953000.0,18095000.0,0.0,0.0,65689000.0,18000.0,5459000.0,-14650000.0,14270000.0,-2727000.0,5097000.0,-38247000.0,28216000.0,6688000.0,21528000.0,5007000.0,5878000.0,500000.0,17573000.0,10643000.0,-2916000.0,10643000.0,-1150000.0,7727000.0,2418000.0,0.0,5309000.0,0.0,5283000.0
3,ABMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ACN,3445149.0,512234.0,1170168.0,-73322.0,134758.0,0.0,-521224.0,4973039.0,-515919.0,-60983.0,0.0,-2233879.0,-1498734.0,0.0,-2120.0,-60591.0,-3560235.0,42326.0,-778749.0,4126860.0,3011.0,6885257.0,0.0,1082161.0,12097289.0,211610.0,1140598.0,5002352.0,0.0,4238041.0,2214901.0,22689890.0,1525065.0,2907.0,3464875.0,9824279.0,22163.0,3133248.0,755871.0,760723.0,12979690.0,71.0,7081855.0,-1648848.0,3516399.0,242.0,8949477.0,3947125.0,34850182.0,23819690.0,11030492.0,0.0,5888090.0,0.0,29707780.0,5142402.0,-526370.0,5142402.0,-15545.0,4616032.0,981100.0,760723.0,3634932.0,0.0,3445149.0
5,ATVI,273000.0,888000.0,68000.0,-165000.0,305000.0,-26000.0,547000.0,2213000.0,-155000.0,-55000.0,3000.0,-207000.0,-226000.0,0.0,-510000.0,-10000.0,-624000.0,76000.0,1458000.0,4713000.0,55000.0,918000.0,46000.0,788000.0,6520000.0,0.0,294000.0,9763000.0,1192000.0,899000.0,459000.0,18668000.0,323000.0,0.0,2096000.0,3663000.0,4390000.0,1153000.0,0.0,0.0,9206000.0,0.0,4916000.0,-6201000.0,10747000.0,-638000.0,9462000.0,-1493000.0,7017000.0,2501000.0,4516000.0,1069000.0,2108000.0,0.0,5678000.0,1339000.0,-188000.0,1339000.0,-162000.0,1151000.0,878000.0,0.0,273000.0,0.0,273000.0
6,ADBE,1693954.0,325997.0,505208.0,-187173.0,430216.0,0.0,179144.0,2912853.0,-178122.0,194871.0,0.0,-442877.0,0.0,0.0,-1960.0,0.0,-1183735.0,8516.0,1294757.0,2306072.0,3513702.0,1217968.0,0.0,14198.0,7247813.0,0.0,936976.0,5821561.0,385658.0,143548.0,0.0,14535556.0,113538.0,0.0,2421744.0,3527457.0,1882479.0,665751.0,0.0,0.0,6075687.0,61.0,9573870.0,-6196257.0,5082195.0,-111821.0,8459869.0,2252650.0,7301505.0,1010491.0,6291014.0,1224059.0,2822298.0,0.0,5133410.0,2168095.0,-30454.0,2168095.0,-74402.0,2137641.0,443687.0,0.0,1693954.0,0.0,1693954.0
7,AMD,-33000.0,144000.0,109000.0,-103000.0,6000.0,-3000.0,-144000.0,12000.0,-113000.0,1000.0,58000.0,-54000.0,0.0,0.0,-40000.0,-13000.0,-33000.0,0.0,-75000.0,1185000.0,0.0,457000.0,694000.0,191000.0,2634000.0,58000.0,261000.0,289000.0,239000.0,71000.0,11000.0,3552000.0,796000.0,70000.0,133000.0,1513000.0,1325000.0,118000.0,0.0,0.0,2956000.0,9000.0,-7775000.0,-102000.0,8464000.0,6000.0,596000.0,68000.0,5253000.0,3466000.0,1787000.0,1196000.0,516000.0,-52000.0,5126000.0,127000.0,-142000.0,127000.0,-126000.0,-15000.0,18000.0,0.0,-33000.0,0.0,-33000.0
8,AAP,475505.0,249260.0,-95767.0,36047.0,-197168.0,167548.0,-34620.0,600805.0,-189758.0,0.0,20.0,-178639.0,-17854.0,0.0,14004.0,-2069.0,-14872.0,4465.0,411759.0,546937.0,0.0,606357.0,4168492.0,105106.0,5426892.0,0.0,1394138.0,994293.0,597674.0,69304.0,0.0,8482301.0,2894582.0,350.0,227906.0,3480097.0,1044327.0,542681.0,0.0,0.0,5067105.0,8.0,2920096.0,-169554.0,664646.0,-24954.0,3415196.0,1823229.0,9373784.0,5288735.0,4085049.0,0.0,3392328.0,0.0,8720540.0,653244.0,-132985.0,653244.0,-58801.0,520259.0,44754.0,0.0,475505.0,0.0,475505.0
9,AES,-1161000.0,1046000.0,2556000.0,-177000.0,163000.0,-28000.0,-76000.0,2376000.0,-2177000.0,141000.0,-62000.0,-2599000.0,-317000.0,0.0,948000.0,-588000.0,43000.0,8000.0,-172000.0,949000.0,424000.0,1610000.0,562000.0,2791000.0,6398000.0,1197000.0,20296000.0,1059000.0,1726000.0,2436000.0,130000.0,33112000.0,1371000.0,2164000.0,1179000.0,6028000.0,17801000.0,4378000.0,542000.0,2440000.0,28207000.0,8000.0,-2276000.0,-3768000.0,8501000.0,-1876000.0,2465000.0,-320000.0,10530000.0,8043000.0,2487000.0,0.0,216000.0,0.0,8259000.0,2271000.0,-1429000.0,2271000.0,-1170000.0,842000.0,990000.0,2440000.0,-148000.0,-654000.0,-1161000.0
