,index,Net Income,Depreciation,Adjustments To Net Income,Changes In Accounts Receivables,Changes In Liabilities,Changes In Inventories,Changes In Other Operating Activities,Total Cash Flow From Operating Activities,Capital Expenditure,Investments,Other Cash flows from Investing Activities,Total Cash Flows From Investing Activities,Dividends Paid,Sale Purchase of Stock,Net Borrowings,Other Cash Flows from Financing Activities,Total Cash Flows From Financing Activities,Effect Of Exchange Rate Changes,Change In Cash and Cash Equivalents,Cash And Cash Equivalents,Short Term Investments,Net Receivables,Inventory,Other Current Assets,Total Current Assets,Long Term Investments,"Property, plant and equipment",Goodwill,Intangible Assets,Other Assets,Deferred Long Term Asset Charges,Total Assets,Accounts Payable,Short/Current Long Term Debt,Other Current Liabilities,Total Current Liabilities,Long Term Debt,Other Liabilities,Deferred Long Term Liability Charges,Minority Interest,Total Liabilities,Common Stock,Retained Earnings,Treasury Stock,Capital Surplus,Other Stockholder Equity,Total stockholders' equity,Net Tangible Assets,Total Revenue,Cost of Revenue,Gross Profit,Research Development,Selling General and Administrative,Others,Total Operating Expenses,Operating Income or Loss,Total Other Income/Expenses Net,Earnings Before Interest and Taxes,Interest Expense,Income Before Tax,Income Tax Expense,Minority Interest,Net Income From Continuing Ops,Discontinued Operations,Net Income Applicable To Common Shares
0,MMM,5050000.0,1474000.0,145000.0,-313000.0,148000.0,57000.0,0.0,6662000.0,-1420000.0,-163000.0,-4000.0,-1403000.0,-2678000.0,0.0,1043000.0,-42000.0,-4626000.0,-33000.0,600000.0,2398000.0,280000.0,4501000.0,3385000.0,341000.0,11726000.0,153000.0,8516000.0,9166000.0,2320000.0,1025000.0,422000.0,32906000.0,1798000.0,800000.0,1844000.0,6219000.0,10678000.0,5621000.0,0.0,45000.0,22563000.0,9000.0,37907000.0,-32679000.0,5061000.0,-7245000.0,10298000.0,-1188000.0,30109000.0,15118000.0,14991000.0,1764000.0,6115000.0,0.0,22997000.0,7112000.0,-59000.0,7112000.0,-199000.0,7053000.0,1995000.0,45000.0,5058000.0,0.0,5050000.0
1,ABT,1400000.0,1351000.0,1800000.0,-177000.0,-652000.0,-98000.0,113000.0,3203000.0,-1121000.0,886000.0,42000.0,-248000.0,-1539000.0,0.0,13155000.0,-195000.0,11147000.0,-483000.0,13619000.0,18620000.0,155000.0,3248000.0,2434000.0,789000.0,26776000.0,2955000.0,5705000.0,7683000.0,4539000.0,5008000.0,2255000.0,52666000.0,1178000.0,457000.0,824000.0,6660000.0,20681000.0,4608000.0,0.0,179000.0,31949000.0,13027000.0,25565000.0,-18054000.0,0.0,-7263000.0,20538000.0,8316000.0,20853000.0,9085000.0,11768000.0,1442000.0,6558000.0,0.0,17635000.0,3218000.0,-1805000.0,3218000.0,-431000.0,1413000.0,350000.0,179000.0,1063000.0,337000.0,1393000.0
2,ABBV,5953000.0,1189000.0,1588000.0,-71000.0,-1187000.0,-38000.0,-393000.0,7041000.0,-479000.0,-2956000.0,118000.0,-6074000.0,-3717000.0,0.0,5594000.0,-40000.0,-3928000.0,-338000.0,-3299000.0,5100000.0,1323000.0,5105000.0,1444000.0,225000.0,16187000.0,1783000.0,2604000.0,15416000.0,28897000.0,1212000.0,0.0,66099000.0,1407000.0,25000.0,4007000.0,9781000.0,36440000.0,15242000.0,0.0,0.0,61463000.0,18000.0,4378000.0,-13438000.0,13678000.0,-2586000.0,4636000.0,-39677000.0,25638000.0,5793000.0,19845000.0,4385000.0,5837000.0,500000.0,16015000.0,9623000.0,-1739000.0,9623000.0,-1047000.0,7884000.0,1931000.0,0.0,5953000.0,0.0,5923000.0
3,ABMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ACN,4111892.0,445618.0,159298.0,-370068.0,375364.0,0.0,-179168.0,4667400.0,-496566.0,-64226.0,0.0,-610350.0,-1372179.0,0.0,-1059.0,-78428.0,-3489218.0,-22989.0,544843.0,4905609.0,2875.0,6222399.0,0.0,845339.0,11976222.0,198633.0,956542.0,3609437.0,0.0,3868170.0,2077312.0,20609004.0,1280821.0,2773.0,2810139.0,8878924.0,24457.0,3516247.0,733219.0,634114.0,12419628.0,72.0,7879960.0,-3249499.0,2924729.0,-657592.0,7555262.0,3945825.0,32882723.0,22605296.0,10277427.0,0.0,5466982.0,0.0,28072278.0,4810445.0,793127.0,4810445.0,-16258.0,5603572.0,1253969.0,634114.0,4349603.0,0.0,4111892.0
5,ATVI,966000.0,829000.0,276000.0,84000.0,-85000.0,32000.0,-289000.0,2155000.0,-136000.0,-55000.0,-7000.0,-4729000.0,-192000.0,0.0,774000.0,-73000.0,500000.0,-56000.0,-2130000.0,3245000.0,0.0,732000.0,49000.0,804000.0,4830000.0,9000.0,258000.0,9768000.0,1912000.0,675000.0,283000.0,17452000.0,222000.0,0.0,1628000.0,2656000.0,4887000.0,790000.0,0.0,0.0,8333000.0,0.0,4869000.0,-6192000.0,10442000.0,-629000.0,9119000.0,-2561000.0,6608000.0,2394000.0,4214000.0,958000.0,1797000.0,0.0,5149000.0,1459000.0,-353000.0,1459000.0,-217000.0,1106000.0,140000.0,0.0,966000.0,0.0,962000.0
6,ADBE,1168782.0,331535.0,303581.0,-160416.0,518559.0,0.0,-5428.0,2199728.0,-203805.0,-707801.0,0.0,-960033.0,0.0,0.0,-108.0,75105.0,-1090706.0,-14234.0,134755.0,1011315.0,3749985.0,833033.0,0.0,38112.0,5839774.0,13117.0,816264.0,5406474.0,414405.0,207212.0,0.0,12697246.0,88024.0,0.0,1989227.0,2811635.0,1892200.0,568576.0,0.0,0.0,5272411.0,61.0,8114517.0,-5306074.0,4616331.0,-173602.0,7424835.0,1603956.0,5854430.0,819908.0,5034522.0,975987.0,2486399.0,0.0,4360828.0,1493602.0,-58464.0,1493602.0,-70442.0,1435138.0,266356.0,0.0,1168782.0,0.0,1168782.0
7,AMD,-498000.0,133000.0,253000.0,178000.0,66000.0,-48000.0,-24000.0,81000.0,-77000.0,342000.0,12000.0,277000.0,0.0,0.0,-561000.0,-4000.0,122000.0,0.0,480000.0,1264000.0,0.0,311000.0,751000.0,109000.0,2530000.0,59000.0,164000.0,289000.0,234000.0,45000.0,11000.0,3321000.0,823000.0,0.0,156000.0,1346000.0,1435000.0,124000.0,0.0,0.0,2905000.0,9000.0,-7803000.0,-124000.0,8334000.0,-5000.0,416000.0,-107000.0,4319000.0,3316000.0,1003000.0,1008000.0,466000.0,-88000.0,4702000.0,-383000.0,-76000.0,-383000.0,-156000.0,-459000.0,39000.0,0.0,-498000.0,0.0,-498000.0
8,AAP,459622.0,258387.0,44625.0,-41642.0,-119325.0,-144603.0,66239.0,523303.0,-259559.0,0.0,20.0,-262044.0,-17738.0,0.0,-165573.0,-390.0,-217120.0,257.0,44396.0,135178.0,0.0,641252.0,4325868.0,70466.0,5172764.0,0.0,1446340.0,990877.0,640903.0,64149.0,0.0,8315033.0,3086177.0,306.0,225445.0,3676046.0,1042949.0,679846.0,0.0,0.0,5398841.0,8.0,2462935.0,-177803.0,631052.0,-39701.0,2916192.0,1284412.0,9567679.0,5311764.0,4255915.0,0.0,3465517.0,0.0,8777281.0,790398.0,-51563.0,790398.0,-59910.0,738835.0,279213.0,0.0,459622.0,0.0,459622.0
9,AES,-1130000.0,1048000.0,2384000.0,237000.0,-619000.0,42000.0,1092000.0,2855000.0,-2345000.0,-253000.0,-24000.0,-2136000.0,-290000.0,0.0,36000.0,-414000.0,-747000.0,37000.0,9000.0,1244000.0,530000.0,1557000.0,622000.0,2391000.0,6416000.0,621000.0,20415000.0,1157000.0,1732000.0,5783000.0,227000.0,36124000.0,1238000.0,1052000.0,1844000.0,5277000.0,18402000.0,6685000.0,655000.0,2966000.0,30364000.0,8000.0,-1146000.0,-4660000.0,8592000.0,-2756000.0,2794000.0,-95000.0,10281000.0,7898000.0,2383000.0,0.0,197000.0,0.0,8095000.0,2186000.0,-1963000.0,2186000.0,-1134000.0,223000.0,32000.0,2966000.0,191000.0,-1110000.0,-1130000.0
