,index,Net Income,Depreciation,Adjustments To Net Income,Changes In Accounts Receivables,Changes In Liabilities,Changes In Inventories,Changes In Other Operating Activities,Total Cash Flow From Operating Activities,Capital Expenditure,Investments,Other Cash flows from Investing Activities,Total Cash Flows From Investing Activities,Dividends Paid,Sale Purchase of Stock,Net Borrowings,Other Cash Flows from Financing Activities,Total Cash Flows From Financing Activities,Effect Of Exchange Rate Changes,Change In Cash and Cash Equivalents,Cash And Cash Equivalents,Short Term Investments,Net Receivables,Inventory,Other Current Assets,Total Current Assets,Long Term Investments,"Property, plant and equipment",Goodwill,Intangible Assets,Other Assets,Deferred Long Term Asset Charges,Total Assets,Accounts Payable,Short/Current Long Term Debt,Other Current Liabilities,Total Current Liabilities,Long Term Debt,Other Liabilities,Deferred Long Term Liability Charges,Minority Interest,Total Liabilities,Common Stock,Retained Earnings,Treasury Stock,Capital Surplus,Other Stockholder Equity,Total stockholders' equity,Net Tangible Assets,Total Revenue,Cost of Revenue,Gross Profit,Research Development,Selling General and Administrative,Others,Total Operating Expenses,Operating Income or Loss,Total Other Income/Expenses Net,Earnings Before Interest and Taxes,Interest Expense,Income Before Tax,Income Tax Expense,Minority Interest,Net Income From Continuing Ops,Discontinued Operations,Net Income Applicable To Common Shares
10,AMG,243600.0,136800.0,905500.0,14400.0,-6800.0,0.0,-11700.0,1140600.0,-18700.0,500.0,0.0,-18200.0,-64400.0,0.0,-30600.0,-392000.0,-983100.0,-10100.0,126000.0,565500.0,119300.0,416800.0,0.0,66100.0,1167700.0,2992100.0,104300.0,2633400.0,1309900.0,11700.0,0.0,8219100.0,0.0,0.0,104600.0,567800.0,1829600.0,853100.0,0.0,1511200.0,3250500.0,600.0,3876800.0,-1255600.0,835600.0,-109000.0,3457400.0,-485900.0,2378400.0,987200.0,1391200.0,0.0,417700.0,69100.0,1610800.0,767600.0,-54000.0,767600.0,-80600.0,713600.0,181300.0,1511200.0,532300.0,0.0,243600.0
11,AFL,2920000.0,49000.0,-552000.0,-55000.0,0.0,0.0,2343000.0,6014000.0,0.0,47000.0,283000.0,-3582000.0,-793000.0,0.0,470000.0,-50000.0,-1616000.0,30000.0,846000.0,4337000.0,152000.0,851000.0,0.0,2128000.0,7471000.0,114603000.0,443000.0,0.0,9875000.0,8014000.0,0.0,140406000.0,2950000.0,1000.0,9496000.0,13504000.0,5765000.0,97667000.0,0.0,0.0,116944000.0,135000.0,31788000.0,-10638000.0,2177000.0,2151000.0,23462000.0,23462000.0,21758000.0,14565000.0,7193000.0,0.0,2988000.0,0.0,17553000.0,4205000.0,-222000.0,4205000.0,-222000.0,3983000.0,1063000.0,0.0,2920000.0,0.0,2920000.0
12,A,316000.0,210000.0,90000.0,-65000.0,40000.0,-83000.0,27000.0,1087000.0,-177000.0,-11000.0,-1000.0,-704000.0,-191000.0,0.0,-210000.0,0.0,-797000.0,-17000.0,-431000.0,2247000.0,0.0,835000.0,638000.0,128000.0,3848000.0,68000.0,822000.0,2973000.0,491000.0,339000.0,165000.0,8541000.0,340000.0,0.0,435000.0,1171000.0,1799000.0,1000000.0,0.0,4000.0,3970000.0,3000.0,-336000.0,-408000.0,5308000.0,-408000.0,4567000.0,1103000.0,4914000.0,2227000.0,2687000.0,385000.0,1328000.0,0.0,3940000.0,974000.0,-28000.0,974000.0,-75000.0,946000.0,630000.0,4000.0,316000.0,0.0,316000.0
13,APD,1497800.0,970700.0,338800.0,-38100.0,-277700.0,-64200.0,114600.0,2541900.0,-1568400.0,217900.0,16600.0,-1630500.0,-897800.0,0.0,-496700.0,-41500.0,-1359800.0,-33900.0,-482300.0,2791300.0,184700.0,1515800.0,396100.0,36400.0,5082200.0,1326200.0,9923700.0,788900.0,438500.0,1618800.0,121400.0,19178300.0,594600.0,408900.0,985600.0,2338300.0,3363300.0,2300400.0,0.0,318800.0,8002000.0,249400.0,13409900.0,-3831100.0,1029300.0,-1741900.0,10857500.0,9630100.0,8930200.0,6189500.0,2740700.0,64500.0,753100.0,-34500.0,6972600.0,1957600.0,57400.0,1957600.0,-130500.0,2015000.0,524300.0,318800.0,1490700.0,42200.0,1497800.0
14,AKAM,298373.0,287656.0,203170.0,-30445.0,41319.0,0.0,19432.0,1008327.0,-217609.0,-98647.0,-2066.0,-506533.0,0.0,0.0,1132185.0,-146880.0,233608.0,-12844.0,722558.0,1036455.0,855650.0,479889.0,0.0,107862.0,2535354.0,209066.0,910618.0,1487404.0,168348.0,150980.0,34913.0,5461770.0,99089.0,686552.0,96764.0,1210709.0,874080.0,185121.0,26338.0,0.0,2269910.0,1629.0,-430890.0,-48912.0,3670033.0,-48912.0,3191860.0,1536108.0,2714474.0,953485.0,1760989.0,246165.0,1048822.0,0.0,2281783.0,432691.0,-89602.0,432691.0,-43202.0,343089.0,44716.0,0.0,298373.0,0.0,298373.0
15,ALK,437000.0,398000.0,47000.0,-25000.0,277000.0,0.0,61000.0,1195000.0,-960000.0,282000.0,0.0,-631000.0,-158000.0,0.0,-468000.0,29000.0,-647000.0,0.0,-83000.0,105000.0,1131000.0,366000.0,60000.0,2000.0,1787000.0,7000.0,6342000.0,1943000.0,127000.0,706000.0,0.0,10912000.0,132000.0,489000.0,1493000.0,2942000.0,1621000.0,2598000.0,0.0,0.0,7161000.0,1000.0,4534000.0,-1016000.0,232000.0,-448000.0,3751000.0,1681000.0,8264000.0,6058000.0,2206000.0,0.0,326000.0,685000.0,7467000.0,797000.0,-212000.0,797000.0,-73000.0,585000.0,148000.0,0.0,437000.0,0.0,437000.0
16,ALB,693562.0,200698.0,-196130.0,-97448.0,73730.0,-124067.0,-4180.0,546165.0,-699991.0,-5870.0,0.0,-303695.0,-144596.0,0.0,-113567.0,-14756.0,-786526.0,-37927.0,-581983.0,555320.0,0.0,697456.0,700540.0,1933.0,1998421.0,528722.0,3021084.0,1567169.0,386143.0,80135.0,17029.0,7581674.0,522516.0,307294.0,96040.0,1183173.0,1397916.0,1241477.0,0.0,173787.0,3822566.0,1056.0,2566050.0,-350682.0,1368897.0,-350682.0,3585321.0,1632009.0,3374950.0,2140194.0,1234756.0,70054.0,410936.0,0.0,2621184.0,753766.0,130199.0,753766.0,-52405.0,883965.0,144826.0,173787.0,739139.0,0.0,693562.0
17,ARE,379312.0,455723.0,-219374.0,435.0,21909.0,0.0,-77937.0,570339.0,0.0,-215602.0,-2000.0,-2161760.0,-385839.0,0.0,718217.0,-23270.0,1588433.0,-2068.0,-5056.0,234181.0,0.0,579712.0,0.0,64613.0,881112.0,1129771.0,11910702.0,0.0,150340.0,393031.0,0.0,14464956.0,491421.0,0.0,110280.0,601701.0,5479023.0,489518.0,255130.0,552749.0,6570242.0,1110.0,0.0,-10435.0,7286954.0,-10435.0,7277629.0,7127289.0,1335001.0,381120.0,953881.0,0.0,90405.0,0.0,949186.0,385815.0,16978.0,385815.0,-157495.0,402793.0,0.0,552749.0,402793.0,0.0,363983.0
18,ALXN,77600.0,379900.0,377300.0,-208800.0,-55100.0,-14700.0,-155600.0,426000.0,-213000.0,680500.0,3000.0,470500.0,0.0,0.0,-43800.0,-20900.0,-102400.0,-11200.0,782900.0,1365500.0,198300.0,922300.0,472500.0,40500.0,3385000.0,0.0,1471500.0,5037400.0,3641300.0,396700.0,0.0,13931900.0,74400.0,94600.0,304200.0,1174000.0,2519000.0,712600.0,0.0,0.0,4766600.0,0.0,2325800.0,-1699600.0,8539100.0,-9700.0,9165300.0,486600.0,4131200.0,368500.0,3762700.0,730300.0,1092400.0,0.0,2511300.0,1619900.0,-1377700.0,1619900.0,-98200.0,242200.0,164600.0,0.0,77600.0,0.0,77600.0
19,ALGN,400235.0,60727.0,75028.0,-109224.0,161444.0,-24109.0,27128.0,554681.0,-223312.0,199474.0,30765.0,6927.0,0.0,0.0,0.0,-369434.0,-369434.0,-4733.0,187441.0,636899.0,98460.0,439009.0,55641.0,3047.0,1302479.0,64887.0,521329.0,64029.0,17920.0,81814.0,64689.0,2052458.0,64256.0,0.0,434607.0,692073.0,0.0,107494.0,9185.0,0.0,799567.0,8.0,378143.0,-2774.0,877514.0,-2774.0,1252891.0,1170942.0,1966492.0,518625.0,1447867.0,128899.0,852404.0,0.0,1499928.0,466564.0,-8606.0,466564.0,0.0,457958.0,57723.0,0.0,400235.0,0.0,400235.0
