,index,Net Income,Depreciation,Adjustments To Net Income,Changes In Accounts Receivables,Changes In Liabilities,Changes In Inventories,Changes In Other Operating Activities,Total Cash Flow From Operating Activities,Capital Expenditure,Investments,Other Cash flows from Investing Activities,Total Cash Flows From Investing Activities,Dividends Paid,Sale Purchase of Stock,Net Borrowings,Other Cash Flows from Financing Activities,Total Cash Flows From Financing Activities,Effect Of Exchange Rate Changes,Change In Cash and Cash Equivalents,Cash And Cash Equivalents,Short Term Investments,Net Receivables,Inventory,Other Current Assets,Total Current Assets,Long Term Investments,"Property, plant and equipment",Goodwill,Intangible Assets,Other Assets,Deferred Long Term Asset Charges,Total Assets,Accounts Payable,Short/Current Long Term Debt,Other Current Liabilities,Total Current Liabilities,Long Term Debt,Other Liabilities,Deferred Long Term Liability Charges,Minority Interest,Total Liabilities,Common Stock,Retained Earnings,Treasury Stock,Capital Surplus,Other Stockholder Equity,Total stockholders' equity,Net Tangible Assets,Total Revenue,Cost of Revenue,Gross Profit,Research Development,Selling General and Administrative,Others,Total Operating Expenses,Operating Income or Loss,Total Other Income/Expenses Net,Earnings Before Interest and Taxes,Interest Expense,Income Before Tax,Income Tax Expense,Minority Interest,Net Income From Continuing Ops,Discontinued Operations,Net Income Applicable To Common Shares
0,MMM,4833000.0,1435000.0,942000.0,-58000.0,9000.0,3000.0,0.0,6420000.0,-1461000.0,1300000.0,102000.0,-2817000.0,-2561000.0,0.0,3482000.0,34000.0,-3648000.0,-54000.0,-99000.0,1798000.0,118000.0,4260000.0,3518000.0,211000.0,10986000.0,150000.0,8515000.0,9249000.0,2601000.0,1382000.0,675000.0,32883000.0,1694000.0,1125000.0,1873000.0,7118000.0,8754000.0,5497000.0,0.0,39000.0,21415000.0,9000.0,36296000.0,-29667000.0,4791000.0,-6359000.0,11429000.0,-421000.0,30274000.0,15343000.0,14931000.0,1751000.0,6167000.0,0.0,23261000.0,7013000.0,-190000.0,7013000.0,-149000.0,6823000.0,1982000.0,39000.0,4841000.0,0.0,4833000.0
1,ABT,4423000.0,1427000.0,-2728000.0,-171000.0,-742000.0,-257000.0,57000.0,2966000.0,-1110000.0,-821000.0,2342000.0,406000.0,-1443000.0,0.0,1147000.0,-17000.0,-2236000.0,-198000.0,938000.0,5001000.0,1124000.0,3418000.0,2599000.0,284000.0,14155000.0,4157000.0,5730000.0,9638000.0,5562000.0,2005000.0,2003000.0,41247000.0,1081000.0,442000.0,1186000.0,9186000.0,5871000.0,4864000.0,0.0,115000.0,19921000.0,12734000.0,25757000.0,-17280000.0,0.0,-6658000.0,21211000.0,6011000.0,20405000.0,8729000.0,11676000.0,1371000.0,6742000.0,0.0,17443000.0,2962000.0,221000.0,2962000.0,-163000.0,3183000.0,577000.0,115000.0,2606000.0,1817000.0,4403000.0
2,ABBV,5144000.0,836000.0,1051000.0,-1076000.0,1503000.0,-434000.0,511000.0,7535000.0,-532000.0,48000.0,118000.0,-12936000.0,-3294000.0,0.0,16623000.0,-146000.0,5752000.0,-300000.0,51000.0,8399000.0,8000.0,4730000.0,1719000.0,61000.0,16314000.0,154000.0,2565000.0,13168000.0,19709000.0,1140000.0,0.0,53050000.0,1597000.0,2025000.0,3468000.0,10894000.0,29321000.0,8890000.0,0.0,0.0,49105000.0,17000.0,2248000.0,-11400000.0,13080000.0,-2561000.0,3945000.0,-28932000.0,22859000.0,4239000.0,18620000.0,4101000.0,5663000.0,500000.0,14003000.0,8856000.0,-2211000.0,8856000.0,-719000.0,6645000.0,1501000.0,0.0,5144000.0,0.0,5118000.0
3,ABMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ACN,3053581.0,410938.0,267934.0,-427125.0,296384.0,0.0,150403.0,4176163.0,-395017.0,-64226.0,0.0,-1170384.0,-1276787.0,0.0,701.0,-84942.0,-3286322.0,-279996.0,-560539.0,4360766.0,2448.0,5725424.0,0.0,611436.0,10700074.0,45027.0,801884.0,2929833.0,0.0,3725829.0,2089928.0,18202647.0,1151464.0,1848.0,2928012.0,8491006.0,25587.0,3038483.0,655482.0,513846.0,11555076.0,76.0,13470008.0,-11853169.0,4516810.0,-380769.0,6133725.0,3203892.0,31047931.0,21238692.0,9809239.0,0.0,5308988.0,0.0,26547680.0,4500251.0,-89721.0,4500251.0,-14578.0,4410530.0,1136741.0,513846.0,3273789.0,0.0,3053581.0
5,ATVI,892000.0,95000.0,108000.0,-40000.0,-52000.0,-54000.0,-96000.0,1259000.0,-111000.0,-55000.0,-3559000.0,-3716000.0,-167000.0,0.0,-250000.0,192000.0,-202000.0,-366000.0,-3025000.0,1823000.0,0.0,679000.0,128000.0,757000.0,3387000.0,9000.0,189000.0,7095000.0,562000.0,4004000.0,275000.0,15246000.0,284000.0,0.0,1706000.0,2611000.0,4074000.0,493000.0,0.0,0.0,7178000.0,0.0,4096000.0,-6270000.0,10242000.0,-633000.0,8068000.0,411000.0,4664000.0,1585000.0,3079000.0,646000.0,1109000.0,0.0,3340000.0,1324000.0,-203000.0,1324000.0,-200000.0,1121000.0,229000.0,0.0,892000.0,0.0,881000.0
6,ADBE,629551.0,339473.0,168640.0,-79502.0,343671.0,0.0,-30265.0,1469502.0,-184936.0,-535197.0,0.0,-1488358.0,0.0,0.0,387091.0,59325.0,-200687.0,-21297.0,-240840.0,876560.0,3111524.0,672006.0,0.0,19126.0,4821892.0,19821.0,787421.0,5366881.0,510007.0,220450.0,0.0,11726472.0,93307.0,0.0,1442519.0,2213556.0,1907231.0,604105.0,0.0,0.0,4724892.0,61.0,7253431.0,-4436795.0,4184883.0,-169080.0,7001580.0,1124692.0,4795511.0,744317.0,4051194.0,862730.0,2216720.0,0.0,3892416.0,903095.0,-29314.0,903095.0,-64184.0,873781.0,244230.0,0.0,629551.0,0.0,629551.0
7,AMD,-660000.0,167000.0,143000.0,280000.0,-156000.0,-11000.0,-24000.0,-226000.0,-96000.0,235000.0,12000.0,147000.0,0.0,0.0,56000.0,-2000.0,59000.0,0.0,-20000.0,785000.0,0.0,533000.0,678000.0,248000.0,2320000.0,7000.0,188000.0,278000.0,189000.0,102000.0,48000.0,3084000.0,524000.0,0.0,227000.0,1403000.0,2007000.0,86000.0,0.0,0.0,3496000.0,8000.0,-7306000.0,-131000.0,7017000.0,-8000.0,-412000.0,-879000.0,3991000.0,2911000.0,1080000.0,947000.0,482000.0,-88000.0,4343000.0,-352000.0,-294000.0,-352000.0,-160000.0,-646000.0,14000.0,0.0,-660000.0,0.0,-660000.0
8,AAP,473398.0,269476.0,43252.0,-21476.0,119164.0,-244096.0,62926.0,702644.0,-234747.0,0.0,20.0,-253366.0,-17649.0,0.0,-426322.0,-380.0,-458954.0,-4213.0,-13889.0,90782.0,0.0,597788.0,4174768.0,77408.0,4940746.0,0.0,1434577.0,989484.0,687125.0,75769.0,0.0,8127701.0,3203922.0,598.0,205825.0,3797477.0,1206297.0,663279.0,0.0,0.0,5667053.0,7.0,2021077.0,-163768.0,603332.0,-44059.0,2460648.0,784039.0,9737018.0,5314246.0,4422772.0,0.0,3585992.0,0.0,8900238.0,836780.0,-83892.0,836780.0,-65408.0,752888.0,279490.0,0.0,473398.0,0.0,473398.0
9,AES,306000.0,1144000.0,1146000.0,-378000.0,31000.0,-26000.0,-117000.0,2159000.0,-2308000.0,47000.0,-226000.0,-2366000.0,-276000.0,0.0,618000.0,168000.0,28000.0,-52000.0,-231000.0,1257000.0,469000.0,2468000.0,671000.0,1871000.0,6842000.0,610000.0,22022000.0,1157000.0,1883000.0,3956000.0,410000.0,36470000.0,1571000.0,2172000.0,1409000.0,6926000.0,18267000.0,5028000.0,887000.0,3100000.0,30221000.0,8000.0,143000.0,-5720000.0,8718000.0,-3883000.0,3149000.0,109000.0,11260000.0,8597000.0,2663000.0,0.0,196000.0,0.0,8793000.0,2467000.0,-1373000.0,2467000.0,-1145000.0,1094000.0,412000.0,3100000.0,682000.0,-12000.0,306000.0
10,AMG,509500.0,134200.0,540800.0,54500.0,-32000.0,0.0,6700.0,1213200.0,-38200.0,-286300.0,0.0,-324500.0,-44900.0,0.0,-2700.0,-499100.0,-857700.0,-17800.0,13200.0,563800.0,199900.0,413800.0,0.0,0.0,1177500.0,2086400.0,114100.0,2668400.0,1686400.0,36600.0,0.0,7769400.0,0.0,0.0,67900.0,554300.0,1879400.0,954100.0,0.0,1544500.0,3387800.0,600.0,2581600.0,-440000.0,694900.0,-18100.0,2837100.0,-1517700.0,2484500.0,1027700.0,1456800.0,0.0,443800.0,43800.0,1649500.0,835000.0,255600.0,835000.0,-93300.0,1090600.0,263400.0,1544500.0,827200.0,0.0,509500.0
11,AFL,2533000.0,50000.0,-508000.0,147000.0,0.0,0.0,3524000.0,6776000.0,0.0,-1261000.0,-3596000.0,-4897000.0,-656000.0,0.0,-274000.0,22000.0,-2187000.0,-4000.0,-308000.0,4350000.0,0.0,705000.0,0.0,2249000.0,7304000.0,101547000.0,427000.0,0.0,8511000.0,467000.0,0.0,118256000.0,3802000.0,197000.0,12568000.0,17508000.0,4754000.0,78266000.0,0.0,0.0,100548000.0,67000.0,24007000.0,-8194000.0,1828000.0,625000.0,17708000.0,17708000.0,20918000.0,14115000.0,6803000.0,0.0,2606000.0,0.0,16721000.0,4197000.0,-335000.0,4197000.0,-284000.0,3862000.0,1329000.0,0.0,2533000.0,0.0,2533000.0
12,A,401000.0,253000.0,983000.0,-24000.0,-26000.0,-24000.0,-241000.0,1322000.0,-98000.0,-1000.0,-242000.0,-400000.0,-133000.0,0.0,262000.0,-734000.0,-1089000.0,-48000.0,-215000.0,2003000.0,0.0,710000.0,541000.0,432000.0,3686000.0,86000.0,604000.0,2366000.0,445000.0,292000.0,180000.0,7479000.0,279000.0,0.0,369000.0,976000.0,1655000.0,678000.0,0.0,3000.0,3309000.0,6000.0,5581000.0,-10465000.0,9045000.0,-391000.0,4167000.0,1356000.0,4038000.0,1997000.0,2041000.0,327000.0,1189000.0,0.0,3513000.0,525000.0,-45000.0,525000.0,-66000.0,480000.0,42000.0,3000.0,438000.0,-37000.0,401000.0
13,APD,1277900.0,858500.0,77300.0,-23800.0,134900.0,38000.0,106900.0,2469700.0,-1162400.0,-4300.0,-453800.0,-1599700.0,-677500.0,0.0,-73900.0,-347200.0,-977300.0,-22900.0,-130200.0,206400.0,0.0,1768800.0,657800.0,75900.0,2793500.0,1419900.0,8745100.0,1131300.0,508300.0,2736400.0,82700.0,17334500.0,621900.0,435600.0,740700.0,3644400.0,3949900.0,2359100.0,20200.0,132100.0,9953400.0,249400.0,10580400.0,-4485500.0,904700.0,-2125900.0,7249000.0,5609400.0,7824300.0,5598200.0,2226100.0,76400.0,773000.0,-27600.0,6420000.0,1404300.0,-138200.0,1404300.0,-102800.0,1266100.0,300200.0,132100.0,965900.0,344600.0,1277900.0
14,AKAM,321406.0,223802.0,136579.0,-56247.0,54848.0,0.0,18778.0,793452.0,-311676.0,153060.0,-2494.0,-435564.0,0.0,0.0,1132185.0,-2050.0,-297029.0,-10036.0,50823.0,289473.0,460088.0,380399.0,0.0,79477.0,1253188.0,774674.0,753180.0,1150244.0,156095.0,94303.0,4700.0,4181684.0,61982.0,0.0,54292.0,332440.0,618047.0,110319.0,0.0,0.0,1060806.0,1772.0,-1276861.0,-41453.0,4437420.0,-41453.0,3120878.0,1814539.0,2197448.0,725620.0,1471828.0,148591.0,827497.0,0.0,1728775.0,468673.0,-12049.0,468673.0,-18525.0,456624.0,135218.0,0.0,321406.0,0.0,321406.0
15,ALK,848000.0,320000.0,25000.0,47000.0,151000.0,0.0,193000.0,1584000.0,-831000.0,-152000.0,52000.0,-930000.0,-102000.0,0.0,-116000.0,35000.0,-688000.0,0.0,-34000.0,73000.0,1255000.0,212000.0,51000.0,2000.0,1663000.0,0.0,4031000.0,0.0,0.0,836000.0,0.0,6530000.0,63000.0,119000.0,1037000.0,1805000.0,582000.0,1732000.0,0.0,0.0,4119000.0,1000.0,2890000.0,-553000.0,73000.0,-303000.0,2411000.0,2411000.0,5598000.0,3313000.0,2285000.0,0.0,211000.0,424000.0,4268000.0,1330000.0,-18000.0,1330000.0,-8000.0,1312000.0,464000.0,0.0,848000.0,0.0,848000.0
16,ALB,334906.0,181173.0,-113735.0,-8788.0,23745.0,27649.0,-84140.0,360810.0,-227649.0,101154.0,57550.0,-2160552.0,-119302.0,0.0,-278276.0,-79836.0,-478446.0,2154.0,-2276034.0,213734.0,0.0,495550.0,439513.0,643596.0,1831002.0,435584.0,2321095.0,1460552.0,383868.0,3165853.0,75813.0,9597954.0,239572.0,674994.0,517741.0,1616685.0,3142163.0,1437793.0,0.0,146921.0,6196641.0,1122.0,1615407.0,-421288.0,2059151.0,-421288.0,3254392.0,1409972.0,2826429.0,1910296.0,916133.0,89187.0,300440.0,0.0,2299923.0,526506.0,-187784.0,526506.0,-76297.0,338722.0,11134.0,146921.0,327588.0,32476.0,334906.0
17,ARE,144217.0,255171.0,-37153.0,7.0,43800.0,0.0,-74434.0,342611.0,0.0,-37836.0,-1219.0,-722395.0,-243090.0,0.0,200811.0,382942.0,419126.0,-255.0,39087.0,125098.0,0.0,307685.0,0.0,50236.0,483615.0,480677.0,7436665.0,0.0,41139.0,438921.0,0.0,8881017.0,239838.0,0.0,62005.0,301843.0,3940006.0,345204.0,203990.0,318877.0,4587053.0,725.0,0.0,49191.0,3558008.0,49191.0,3607924.0,3566785.0,845125.0,261232.0,583893.0,0.0,59621.0,0.0,582142.0,262983.0,-116826.0,262983.0,-105813.0,146157.0,0.0,318877.0,146157.0,-43.0,116867.0
18,ALXN,144400.0,156600.0,779400.0,-115800.0,-153800.0,-88400.0,-57200.0,675200.0,-286300.0,635000.0,5400.0,-3585200.0,0.0,0.0,3398800.0,-168000.0,2985100.0,-9000.0,66100.0,1010000.0,375000.0,533000.0,290000.0,92000.0,2416000.0,0.0,697000.0,5048000.0,4708000.0,228000.0,0.0,13097000.0,57000.0,166000.0,95000.0,709000.0,3254000.0,724000.0,0.0,0.0,4838000.0,0.0,1181000.0,-649000.0,7727000.0,62000.0,8259000.0,-1497000.0,2604000.0,233100.0,2370900.0,709500.0,862600.0,0.0,1921800.0,682200.0,-184100.0,682200.0,-47800.0,498100.0,353700.0,0.0,144400.0,0.0,144400.0
